2 0.712891 0.391602 0.125 0.126953
1 0.680664 0.0722656 0.130859 0.144531
1 0.488281 0.957031 0.113281 0.0859375
1 0.233398 0.924805 0.126953 0.146484
1 0.844727 0.375977 0.103516 0.146484
1 0.328125 0.0712891 0.132812 0.142578
2 0.726562 0.691406 0.0429688 0.117188
1 0.514648 0.0634766 0.123047 0.126953
1 0.120117 0.373047 0.130859 0.160156
1 0.43457 0.772461 0.0957031 0.150391
2 0.681641 0.613281 0.148438 0.09375
1 0.84668 0.919922 0.107422 0.09375
1 0.826172 0.835938 0.0859375 0.117188
1 0.581055 0.727539 0.115234 0.162109
1 0.824219 0.875 0.105469 0.113281
1 0.317383 0.418945 0.103516 0.158203
1 0.228516 0.677734 0.117188 0.148438
1 0.0507812 0.867188 0.101562 0.136719
1 0.416992 0.270508 0.115234 0.150391
1 0.146484 0.807617 0.113281 0.154297
1 0.285156 0.46582 0.121094 0.138672
1 0.0439453 0.392578 0.0878906 0.148438
1 0.963867 0.645508 0.0722656 0.111328
1 0.224609 0.819336 0.121094 0.150391
1 0.952148 0.308594 0.0957031 0.136719
1 0.515625 0.665039 0.128906 0.162109
1 0.182617 0.0410156 0.107422 0.0820312
1 0.53418 0.463867 0.126953 0.138672
1 0.544922 0.387695 0.113281 0.146484
1 0.483398 0.911133 0.115234 0.126953
1 0.449219 0.469727 0.09375 0.138672
2 0.805664 0.851562 0.0488281 0.0703125
1 0.509766 0.764648 0.128906 0.177734
1 0.749023 0.770508 0.126953 0.185547
1 0.869141 0.0732422 0.121094 0.146484
1 0.707031 0.394531 0.117188 0.121094
1 0.00976562 0.0380859 0.0195312 0.0761719
1 0.0986328 0.568359 0.123047 0.152344
2 0.728516 0.666992 0.105469 0.154297
1 0.362305 0.945312 0.111328 0.109375
1 0.109375 0.960938 0.101562 0.078125
1 0.84375 0.28125 0.101562 0.148438
1 0.716797 0.146484 0.117188 0.144531
0 0.810547 0.852539 0.0390625 0.0644531
1 0.875977 0.570312 0.115234 0.148438
2 0.651367 0.738281 0.158203 0.183594
1 0.458008 0.0703125 0.130859 0.140625
1 0.885742 0.864258 0.107422 0.158203
2 0.742188 0.706055 0.152344 0.287109
2 0.686523 0.743164 0.0644531 0.0644531
2 0.675781 0.650391 0.199219 0.203125
2 0.671875 0.738281 0.125 0.101562
2 0.693359 0.708984 0.0546875 0.0664062
2 0.681641 0.655273 0.335938 0.353516
2 0.677734 0.669922 0.140625 0.101562
2 0.672852 0.707031 0.115234 0.0703125
